"Province_State","year_month","Lat","Long_","Confirmed","Deaths","Incident_Rate","Total_Test_Results","Case_Fatality_Ratio","Testing_Rate"
"Montana","2023-01",46.9219,-110.4544,324473.096774194,3628.64516129032,30359.2604614048,3678211.00250891,1.11832263817031,286230.813753645
"Montana","2023-02",46.9219,-110.4544,327206.071428571,3645.82142857143,30614.9706888214,3686350.29451034,1.11423395775641,284866.430655855
"Montana","2023-03",46.9219,-110.4544,329170.6,3651.7,30798.7814120425,3704464.77805625,1.10936492909345,283621.240369506
"Nebraska","2020-04",41.1254,-98.2681,1910.5,35.8888888888889,98.7640663189979,216932.461674722,1.76410474547963,1075.44752673534
"Nebraska","2020-05",41.1254,-98.2681,9498.51612903226,114.806451612903,491.029613661247,307565.739876587,1.27427597350227,3308.83888828908
"Nebraska","2020-06",41.1254,-98.2681,16773.5666666667,220,867.116278813294,452013.836440125,1.26351102024669,7105.48481326932
"Nebraska","2020-07",41.1254,-98.2681,22065.2580645161,297.612903225806,1140.67239509535,583913.407093231,1.27670304861217,11379.4721359113
"Nebraska","2020-08",41.1254,-98.2681,30041.5806451613,361.064516129032,1553.01160071512,733970.777468018,1.29112966948824,16327.4942432389
"Nebraska","2020-09",41.1254,-98.2681,39180.4666666667,435.1,2025.44999124624,871798.75155675,1.31184511352157,20926.2385873783
"Nebraska","2020-10",41.1254,-98.2681,56022,548.354838709677,2896.07983424386,904086.370581745,1.22182072148868,27590.9952478918
"Nebraska","2020-11",41.1254,-98.2681,98137.2,803.266666666667,5073.24204614538,1147998.97348413,0.846346888541176,58558.8390177598
"Nebraska","2020-12",41.1254,-98.2681,149726.129032258,1387.32258064516,7740.15249276565,1561804.16129032,0.923180258009069,80738.094615527
"Nebraska","2021-01",41.1254,-98.2681,179712.290322581,1803.51612903226,9290.29916763065,1905025.4516129,1.00323923245252,98481.0573370717
"Nebraska","2021-02",41.1254,-98.2681,196126.75,2001.25,10138.8512661238,2238649.03571429,1.02026537147472,115727.862773225
"Nebraska","2021-03",41.1254,-98.2681,204837.612903226,2129.58064516129,10589.1628293114,2475087.25806452,1.03962630889375,127950.631824544
"Nebraska","2021-04",41.1254,-98.2681,215181.566666667,2213.93333333333,11123.8976817024,2717026.2,1.02892800463652,140457.762788409
"Nebraska","2021-05",41.1254,-98.2681,222025.580645161,2252.06451612903,11477.701738473,2913165.90322581,1.01434878062635,150597.283676753
"Nebraska","2021-06",41.1254,-98.2681,223869.833333333,2255.6,11573.041123348,3015604.43333333,1.00754930217796,155892.884713738
"Nebraska","2021-07",41.1254,-98.2681,225850.612903226,2271.35483870968,11675.4383203143,3091974.5483871,1.0056941754549,159840.868544128
"Nebraska","2021-08",41.1254,-98.2681,234530.225806452,2296.09677419355,12124.1344021764,3234769.5483871,0.979275766815635,167222.713532362
"Nebraska","2021-09",41.1254,-98.2681,254864.166666667,2393.33333333333,13175.3056576827,3521672.4,0.93899075601505,182054.271901274
"Nebraska","2021-10",41.1254,-98.2681,274885.741935484,2891.54838709677,14210.3290482403,3795262.61290323,1.05198523876,196197.628054848
"Nebraska","2021-11",41.1254,-98.2681,296786.666666667,3060.86666666667,15342.5061655383,4034938.02299765,1.03149131326519,208128.485366246
"Nebraska","2021-12",41.1254,-98.2681,323952.322580645,3262.87096774194,16746.845679952,4318836.34303752,1.00735526321057,222529.516435321
"Nebraska","2022-01",41.1254,-98.2681,386125.258064516,3509.8064516129,19960.9005992798,4687793.16129032,0.913316904839605,242337.353923801
"Nebraska","2022-02",41.1254,-98.2681,449717.892857143,3830.14285714286,23248.3474456859,5089541.53571429,0.851589707835647,263105.897810301
"Nebraska","2022-03",41.1254,-98.2681,476856.096774194,4035.32258064516,24651.2678180711,5334115.12903226,0.846228145727543,275749.228137614
"Nebraska","2022-04",41.1254,-98.2681,478540.833333333,4182.63333333333,24737.9956382866,5432430.86666667,0.874049859613913,280831.699758617
"Nebraska","2022-05",41.1254,-98.2681,483203.225806452,4235.87096774194,24979.3852075907,5520719.35240632,0.876621509028746,284827.539235531
"Nebraska","2022-06",41.1254,-98.2681,492574.9,4321.86666666667,25463.8576762382,5781616.03131982,0.877422379848455,291127.978560792
"Nebraska","2022-07",41.1254,-98.2681,507464,4354.8064516129,26229.9586930388,5874415.48975587,0.858318880592376,285830.068056227
"Nebraska","2022-08",41.1254,-98.2681,522960.225806452,4409.1935483871,27034.6393215108,5942849.56321505,0.843119377794112,283608.069400703
"Nebraska","2022-09",41.1254,-98.2681,533955.066666667,4485.7,27603.0220442981,6048490.04063203,0.840087942737097,282668.838189907
"Nebraska","2022-10",41.1254,-98.2681,538057.225806452,4550.93548387097,27815.0848118107,6015740.8430475,0.845823054043629,282636.57423191
"Nebraska","2022-11",41.1254,-98.2681,537512.6,4601.7,27786.9301615791,6006143.30751907,0.856099188649684,282325.158925532
"Nebraska","2022-12",41.1254,-98.2681,548409.064516129,4673.58064516129,28350.2272796705,6024777.13906043,0.85224451758901,281664.685465509
"Nebraska","2023-01",41.1254,-98.2681,557662.548387097,4724.25806451613,28828.5898521458,6038087.0936847,0.847151550203869,280554.393613088
