TEMP,MONTH,YEAR,STATE
39.1,MAR,2022,Connecticut
49.5,MAR,2020,Delaware
47.6,MAR,2021,Delaware
46.9,MAR,2022,Delaware
71,MAR,2020,Florida
67.8,MAR,2021,Florida
68.4,MAR,2022,Florida
63.1,MAR,2020,Georgia
59.9,MAR,2021,Georgia
58.9,MAR,2022,Georgia
35.1,MAR,2020,Idaho
34.8,MAR,2021,Idaho
36.2,MAR,2022,Idaho
44.4,MAR,2020,Illinois
46.2,MAR,2021,Illinois
43.1,MAR,2022,Illinois
44.6,MAR,2020,Indiana
45.8,MAR,2021,Indiana
43.7,MAR,2022,Indiana
40.3,MAR,2020,Iowa
42.3,MAR,2021,Iowa
37,MAR,2022,Iowa
47.9,MAR,2020,Kansas
48.1,MAR,2021,Kansas
44,MAR,2022,Kansas
51.4,MAR,2020,Kentucky
50.4,MAR,2021,Kentucky
49,MAR,2022,Kentucky
67.3,MAR,2020,Louisiana
62.2,MAR,2021,Louisiana
59,MAR,2022,Louisiana
29.6,MAR,2020,Maine
29.4,MAR,2021,Maine
29,MAR,2022,Maine
49.3,MAR,2020,Maryland
47.2,MAR,2021,Maryland
46.6,MAR,2022,Maryland
40.2,MAR,2020,Massachusetts
38.3,MAR,2021,Massachusetts
38.2,MAR,2022,Massachusetts
35,MAR,2020,Michigan
36.8,MAR,2021,Michigan
31,MAR,2022,Michigan
30.4,MAR,2020,Minnesota
35.6,MAR,2021,Minnesota
26.1,MAR,2022,Minnesota
64.1,MAR,2020,Mississippi
60,MAR,2021,Mississippi
57.1,MAR,2022,Mississippi
48.8,MAR,2020,Missouri
49.9,MAR,2021,Missouri
46.2,MAR,2022,Missouri
31.6,MAR,2020,Montana
36.1,MAR,2021,Montana
33.5,MAR,2022,Montana
41.1,MAR,2020,Nebraska
42.6,MAR,2021,Nebraska
38,MAR,2022,Nebraska
40.5,MAR,2020,Nevada
39.2,MAR,2021,Nevada
43.3,MAR,2022,Nevada
34.2,MAR,2020,New Hampshire
32.4,MAR,2021,New Hampshire
32,MAR,2022,New Hampshire
46.3,MAR,2020,New Jersey
44,MAR,2021,New Jersey
43.8,MAR,2022,New Jersey
48,MAR,2020,New Mexico
44.8,MAR,2021,New Mexico
44.6,MAR,2022,New Mexico
37.2,MAR,2020,New York
35,MAR,2021,New York
33.8,MAR,2022,New York
55.9,MAR,2020,North Carolina
53.1,MAR,2021,North Carolina
53.5,MAR,2022,North Carolina
29.8,MAR,2020,North Dakota
35.9,MAR,2021,North Dakota
26.9,MAR,2022,North Dakota
44.7,MAR,2020,Ohio
44.8,MAR,2021,Ohio
43.2,MAR,2022,Ohio
55.5,MAR,2020,Oklahoma
53.9,MAR,2021,Oklahoma
50.4,MAR,2022,Oklahoma
38.8,MAR,2020,Oregon
39,MAR,2021,Oregon
41.8,MAR,2022,Oregon
42.5,MAR,2020,Pennsylvania
40.7,MAR,2021,Pennsylvania
39.4,MAR,2022,Pennsylvania
42.6,MAR,2020,Rhode Island
40.2,MAR,2021,Rhode Island
40.6,MAR,2022,Rhode Island
60.4,MAR,2020,South Carolina
57.6,MAR,2021,South Carolina
57.7,MAR,2022,South Carolina
36.4,MAR,2020,South Dakota
39.4,MAR,2021,South Dakota
33.4,MAR,2022,South Dakota
54.7,MAR,2020,Tennessee
53.6,MAR,2021,Tennessee
51.6,MAR,2022,Tennessee
63.2,MAR,2020,Texas
59.4,MAR,2021,Texas
57.1,MAR,2022,Texas
40.8,MAR,2020,Utah
38.4,MAR,2021,Utah
40.1,MAR,2022,Utah
33,MAR,2020,Vermont
30.9,MAR,2021,Vermont
30.6,MAR,2022,Vermont
51.7,MAR,2020,Virginia
48.5,MAR,2021,Virginia
48.9,MAR,2022,Virginia
38.3,MAR,2020,Washington
39.7,MAR,2021,Washington
41.5,MAR,2022,Washington
47.8,MAR,2020,West Virginia
45.8,MAR,2021,West Virginia
44.6,MAR,2022,West Virginia
34.3,MAR,2020,Wisconsin
36.9,MAR,2021,Wisconsin
29.5,MAR,2022,Wisconsin
33.1,MAR,2020,Wyoming
32.2,MAR,2021,Wyoming
31.9,MAR,2022,Wyoming
12,MAR,2020,Alaska
9.1,MAR,2021,Alaska
16.7,MAR,2022,Alaska
62,APR,2020,Alabama
61.6,APR,2021,Alabama
62.5,APR,2022,Alabama
59.3,APR,2020,Arizona
61.2,APR,2021,Arizona
60.8,APR,2022,Arizona
58.8,APR,2020,Arkansas
58.4,APR,2021,Arkansas
59.8,APR,2022,Arkansas
56.6,APR,2020,California
58.2,APR,2021,California
55.9,APR,2022,California
43.4,APR,2020,Colorado
43.1,APR,2021,Colorado
43.7,APR,2022,Colorado
44.4,APR,2020,Connecticut
48.7,APR,2021,Connecticut
47.7,APR,2022,Connecticut
51.8,APR,2020,Delaware
55.3,APR,2021,Delaware
53.2,APR,2022,Delaware
73.1,APR,2020,Florida
69.9,APR,2021,Florida
71.7,APR,2022,Florida
63.1,APR,2020,Georgia
62.1,APR,2021,Georgia
63,APR,2022,Georgia
41.6,APR,2020,Idaho
42,APR,2021,Idaho
37,APR,2022,Idaho
49.6,APR,2020,Illinois
52.5,APR,2021,Illinois
49.6,APR,2022,Illinois
48.9,APR,2020,Indiana
51.9,APR,2021,Indiana
49.4,APR,2022,Indiana
46.7,APR,2020,Iowa
49.3,APR,2021,Iowa
43.8,APR,2022,Iowa
52.7,APR,2020,Kansas
52.5,APR,2021,Kansas
54.1,APR,2022,Kansas
52.8,APR,2020,Kentucky
54.6,APR,2021,Kentucky
54.4,APR,2022,Kentucky
66.6,APR,2020,Louisiana
64.7,APR,2021,Louisiana
67.5,APR,2022,Louisiana
37.7,APR,2020,Maine
43.2,APR,2021,Maine
40.6,APR,2022,Maine
51.6,APR,2020,Maryland
55,APR,2021,Maryland
53.1,APR,2022,Maryland
43.1,APR,2020,Massachusetts
47.8,APR,2021,Massachusetts
47.1,APR,2022,Massachusetts
40.2,APR,2020,Michigan
45.1,APR,2021,Michigan
40.2,APR,2022,Michigan
39.4,APR,2020,Minnesota
42.3,APR,2021,Minnesota
35.6,APR,2022,Minnesota
62.9,APR,2020,Mississippi
61.8,APR,2021,Mississippi
63.9,APR,2022,Mississippi
53.1,APR,2020,Missouri
54.2,APR,2021,Missouri
53.1,APR,2022,Missouri
38.3,APR,2020,Montana
40.5,APR,2021,Montana
35.1,APR,2022,Montana
46.1,APR,2020,Nebraska
47,APR,2021,Nebraska
46.5,APR,2022,Nebraska
48.8,APR,2020,Nevada
49.3,APR,2021,Nevada
47.2,APR,2022,Nevada
39.6,APR,2020,New Hampshire
44,APR,2021,New Hampshire
42.4,APR,2022,New Hampshire
48.7,APR,2020,New Jersey
52.6,APR,2021,New Jersey
51,APR,2022,New Jersey
54,APR,2020,New Mexico
53.2,APR,2021,New Mexico
55.4,APR,2022,New Mexico
41.1,APR,2020,New York
45.7,APR,2021,New York
43.8,APR,2022,New York
57.4,APR,2020,North Carolina
58.6,APR,2021,North Carolina
58.8,APR,2022,North Carolina
37.6,APR,2020,North Dakota
40.7,APR,2021,North Dakota
33.5,APR,2022,North Dakota
47.8,APR,2020,Ohio
51.4,APR,2021,Ohio
48.7,APR,2022,Ohio
57.9,APR,2020,Oklahoma
57.4,APR,2021,Oklahoma
61.1,APR,2022,Oklahoma
46.3,APR,2020,Oregon
46.6,APR,2021,Oregon
40.2,APR,2022,Oregon
45.1,APR,2020,Pennsylvania
49.4,APR,2021,Pennsylvania
47,APR,2022,Pennsylvania
44.1,APR,2020,Rhode Island
48.8,APR,2021,Rhode Island
48.4,APR,2022,Rhode Island
62.1,APR,2020,South Carolina
62,APR,2021,South Carolina
62.3,APR,2022,South Carolina
42,APR,2020,South Dakota
43.6,APR,2021,South Dakota
39.6,APR,2022,South Dakota
55.4,APR,2020,Tennessee
56.2,APR,2021,Tennessee
56.8,APR,2022,Tennessee
65.1,APR,2020,Texas
63.7,APR,2021,Texas
68.8,APR,2022,Texas
47.4,APR,2020,Utah
47.4,APR,2021,Utah
46.3,APR,2022,Utah
38.8,APR,2020,Vermont
43.2,APR,2021,Vermont
41.3,APR,2022,Vermont
53.3,APR,2020,Virginia
55.3,APR,2021,Virginia
55.2,APR,2022,Virginia
46,APR,2020,Washington
46.8,APR,2021,Washington
40.7,APR,2022,Washington
48.9,APR,2020,West Virginia
51.3,APR,2021,West Virginia
50.8,APR,2022,West Virginia
40.7,APR,2020,Wisconsin
45,APR,2021,Wisconsin
39,APR,2022,Wisconsin
37.6,APR,2020,Wyoming
38,APR,2021,Wyoming
36.1,APR,2022,Wyoming
27.5,APR,2020,Alaska
23.9,APR,2021,Alaska
25.1,APR,2022,Alaska
68.9,MAY,2020,Alabama
69.4,MAY,2021,Alabama
73.5,MAY,2022,Alabama
70.5,MAY,2020,Arizona
67.9,MAY,2021,Arizona
68.6,MAY,2022,Arizona
66.8,MAY,2020,Arkansas
66.8,MAY,2021,Arkansas
71,MAY,2022,Arkansas
